,price_inr,price_usd,ratings,reviews,RAM (GB),Storage (GB),Display Size (inch),primary camera (MP),battery
price_inr,1.0,0.9999999999847388,0.09773083461570185,0.08180883552314713,-0.035130476480141094,0.5683221614097514,0.35806651643098525,0.337648195979659,-0.011247771451510768
price_usd,0.9999999999847388,1.0,0.0977312705983564,0.08180934888326638,-0.03513038750406834,0.568322392365757,0.35806704412827833,0.3376479472194388,-0.011247511542490577
ratings,0.09773083461570185,0.0977312705983564,1.0,0.9633229472768934,-0.01925550127372243,-0.07512064934432683,0.04474917994850455,-0.049220704336129295,-0.20465448220811477
reviews,0.08180883552314713,0.08180934888326638,0.9633229472768934,1.0,-0.021832454073730845,-0.06335395406306013,0.05076162872453702,-0.04276348331608947,-0.1548886042529505
RAM (GB),-0.035130476480141094,-0.03513038750406834,-0.01925550127372243,-0.021832454073730845,1.0,-0.013174030637713994,-0.09217546455616601,-0.053768665141537865,-0.07765843629263795
Storage (GB),0.5683221614097514,0.568322392365757,-0.07512064934432683,-0.06335395406306013,-0.013174030637713994,1.0,0.5361551280186894,0.32946852690138345,0.37800197012581727
Display Size (inch),0.35806651643098525,0.35806704412827833,0.04474917994850455,0.05076162872453702,-0.09217546455616601,0.5361551280186894,1.0,0.4795118378814419,0.7681281037484159
primary camera (MP),0.337648195979659,0.3376479472194388,-0.049220704336129295,-0.04276348331608947,-0.053768665141537865,0.32946852690138345,0.4795118378814419,1.0,0.4243333114101206
battery,-0.011247771451510768,-0.011247511542490577,-0.20465448220811477,-0.1548886042529505,-0.07765843629263795,0.37800197012581727,0.7681281037484159,0.4243333114101206,1.0
